1,ceasarkwadwo@gmail.com,23333333,fkfmf,cease
2,ceee@fm.com,122334444,Hello People,Emma
3,dkkd@fkf.com,23444,Yes Sir,Messi
4,suarez@gmail.com,9999999,hello,Suarez
5,dkkd@fkf.com,23444,Yes Sir,Messi
6,ronal@yahoo.com,556665555,I am CR7,Cristiano Ronaldo
7,xaviherna@hotmail.com,4567765322,I am the best midfielder in the history of laliga ,Xavi Hernandes
8,dzisamuel@gmail.com,234562345,I am just a girl in high school,Dzifa Samuelina
9,dzisamuel@gmail.com,234562345,I am just a girl in high school,Dzifa Samuelina
10,dzisamuel@gmail.com,234562345,I am just a girl in high school,Dzifa Samuelina
11,rex@gotmail.com,2356543322,Cobalt Dry,Rexona Men
12,harddisk@thundermail.com,9434583838,I am a gadget,Hard Disk
13,rex@gotmail.com,2356543322,Cobalt Dry,Rexona Men
14,harddisk@thundermail.com,9434583838,I am a gadget,Hard Disk
15,kofipiano@gmail.com,22999292929,I am a pianist,Keyboard Piano
16,henrypsg@gmail.com,292929,I am Henry,Henry Th
17,new@gmail.com,345676543,fghjjhgfds,new
18,aseye@secre.com,654322345,asdfghgfdsa,Aseye
19,ceed@gmi.com,2345,sdfghjkl;kjhgf,dfg
20,phone@gmail.com,1234567,asdfghytres,phone
21,conta@gmail.com,1234567,ewrfghjytrgf,contact
22,bgggh@gmail.com,23456789,efghjkliuytfdfghjk,dfghjk
23,sdfghjkled@gmail.com,123456789,Agbek,Hellodfg
24,jon@gmail.com,234567,I am Knenedy,John
25,ceasarkwadwo@gmail.com,561440255,rtfgjsdhihcishci,Agbekuadzi Ceasar
